source_index,value,concurrency,payload_bytes,target_qps,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,estimated_used_cores,tps_per_used_core,client_rss_kb,server_rss_kb,retry,status,payload_peak_tps,payload_peak_concurrency,tps_vs_payload_peak_pct,tps_retention_vs_zero_payload_pct,tp99_amplification_vs_c64,tp999_amplification_vs_c64,tps_gain_vs_previous_concurrency_pct,tp99_change_vs_previous_concurrency_pct
38,670 × 4,4,670,0,-,80100.0,140.0,180.0,118.2,101.2,219.4,2.194,36508.65998176846,57344,44032,1,OK,413300.0,128,19.380595209291073,91.75257731958763,0.42424242424242425,0.3157894736842105,434.0,-12.5
39,670 × 16,16,670,0,-,185100.0,200.0,250.0,220.9,224.9,445.8,4.458,41520.86137281292,73728,43008,1,OK,413300.0,128,44.78586982821195,92.64264264264264,0.6060606060606061,0.43859649122807015,131.08614232209737,42.85714285714286
40,670 × 64,64,670,0,-,404600.0,330.0,570.0,479.8,478.3,958.1,9.581,42229.412378666115,154624,44032,1,OK,413300.0,128,97.89499153157513,88.96218117854002,1.0,1.0,118.58454889249055,64.99999999999999
41,670 × 128,128,670,0,-,413300.0,580.0,1260.0,504.2,494.2,998.4,9.984,41396.23397435898,149504,50176,1,OK,413300.0,128,100.0,86.84597604538769,1.7575757575757576,2.210526315789474,2.1502718734552673,75.75757575757575
42,670 × 256,256,670,0,-,409400.0,1220.0,2250.0,510.9,490.3,1001.2,10.012,40890.93088294047,171008,57344,1,OK,413300.0,128,99.05637551415437,85.30943946655553,3.696969696969697,3.9473684210526314,-0.9436244858456289,110.34482758620689
43,670 × 512,512,670,0,-,398100.0,2490.0,3410.0,503.4,493.0,996.4,9.964,39953.833801686065,221184,68608,1,OK,413300.0,128,96.32228405516574,84.97331910352187,7.545454545454546,5.982456140350878,-2.760136785539813,104.0983606557377
44,670 × 1024,1024,670,0,-,389000.0,4050.0,5600.0,498.4,501.3,999.7,9.997,38911.67350205062,356352,86016,1,OK,413300.0,128,94.1204935881926,85.30701754385964,12.272727272727273,9.824561403508772,-2.28585782466717,62.65060240963856
45,670 × 2048,2048,670,0,-,377400.0,7700.0,11080.0,521.0,507.5,1028.5,10.285,36694.21487603306,630784,114688,1,OK,413300.0,128,91.31381563029277,84.84712230215827,23.333333333333332,19.43859649122807,-2.9820051413881776,90.12345679012346
46,1340 × 1,1,1340,0,-,21300.0,120.0,140.0,59.3,34.0,93.3,0.9329999999999999,22829.581993569132,44032,44032,1,OK,361300.0,128,5.895377802380294,94.24778761061947,0.34285714285714286,0.19718309859154928,,
47,1340 × 4,4,1340,0,-,80800.0,140.0,180.0,118.7,104.5,223.2,2.2319999999999998,36200.71684587814,52224,45056,1,OK,361300.0,128,22.363686686963742,92.55441008018327,0.4,0.2535211267605634,279.34272300469485,16.666666666666675
48,1340 × 16,16,1340,0,-,168700.0,220.0,280.0,211.6,215.5,427.1,4.271,39498.946382580194,72704,51200,1,OK,361300.0,128,46.69249930805425,84.43443443443444,0.6285714285714286,0.39436619718309857,108.78712871287131,57.14285714285714
49,1340 × 64,64,1340,0,-,354400.0,350.0,710.0,447.1,445.6,892.7,8.927,39699.78716254061,132096,50176,1,OK,361300.0,128,98.09022972598949,77.92436235708003,1.0,1.0,110.077059869591,59.09090909090908
50,1340 × 128,128,1340,0,-,361300.0,700.0,1370.0,466.3,454.4,920.7,9.207,39241.881177365045,129024,51200,1,OK,361300.0,128,100.0,75.91931077957554,2.0,1.9295774647887325,1.9469525959368017,100.0
51,1340 × 256,256,1340,0,-,352700.0,1450.0,2350.0,466.6,449.6,916.2,9.162,38495.96158044095,154624,56320,1,OK,361300.0,128,97.61970661500138,73.49447801625338,4.142857142857143,3.3098591549295775,-2.3802933849986108,107.14285714285717
52,1340 × 512,512,1340,0,-,345600.0,2880.0,3500.0,465.7,457.3,923.0,9.23,37443.120260021664,205824,65536,1,OK,361300.0,128,95.65458068087462,73.76734258271078,8.228571428571428,4.929577464788732,-2.0130422455344466,98.62068965517241
53,1340 × 1024,1024,1340,0,-,338500.0,5030.0,6210.0,467.9,468.2,936.0999999999999,9.360999999999999,36160.666595449205,355328,80896,1,OK,361300.0,128,93.68945474674786,74.23245614035088,14.371428571428572,8.746478873239436,-2.054398148148151,74.65277777777777
54,1340 × 2048,2048,1340,0,-,327200.0,9830.0,12270.0,484.5,472.5,957.0,9.57,34190.1776384535,644096,107520,1,OK,361300.0,128,90.56185995017991,73.56115107913669,28.085714285714285,17.281690140845072,-3.3382570162481584,95.42743538767395
55,3350 × 1,1,3350,0,-,19200.0,130.0,160.0,59.5,37.5,97.0,0.97,19793.81443298969,43008,40960,1,OK,185600.0,2048,10.344827586206897,84.95575221238938,0.1780821917808219,0.15841584158415842,,
56,3350 × 4,4,3350,0,-,53900.0,190.0,240.0,83.9,75.6,159.5,1.595,33793.10344827586,52224,43008,1,OK,185600.0,2048,29.040948275862068,61.741122565864835,0.2602739726027397,0.2376237623762376,180.72916666666666,46.153846153846146
57,3350 × 16,16,3350,0,-,109500.0,310.0,370.0,174.3,180.0,354.3,3.543,30906.01185436071,58368,45056,1,OK,185600.0,2048,58.997844827586206,54.8048048048048,0.4246575342465753,0.36633663366336633,103.15398886827461,63.1578947368421
58,3350 × 64,64,3350,0,-,166100.0,730.0,1010.0,272.3,263.3,535.6,5.356,31011.949215832712,72704,47104,1,OK,185600.0,2048,89.49353448275862,36.52154793315743,1.0,1.0,51.68949771689497,135.48387096774195
59,3350 × 128,128,3350,0,-,160300.0,1540.0,1970.0,268.2,254.3,522.5,5.225,30679.425837320578,86016,45056,1,OK,185600.0,2048,86.36853448275862,33.68354696364783,2.1095890410958904,1.9504950495049505,-3.491872366044546,110.95890410958904
60,3350 × 256,256,3350,0,-,162100.0,3080.0,3620.0,277.7,260.2,537.9,5.379,30135.71295779885,123904,53248,1,OK,185600.0,2048,87.33836206896552,33.777870389664514,4.219178082191781,3.5841584158415842,1.1228945726762252,100.0
61,3350 × 512,512,3350,0,-,171100.0,5930.0,6530.0,295.5,280.7,576.2,5.7620000000000005,29694.550503297465,204800,64512,1,OK,185600.0,2048,92.1875,36.52081109925294,8.123287671232877,6.465346534653466,5.55212831585441,92.53246753246754
62,3350 × 1024,1024,3350,0,-,178600.0,8380.0,12080.0,308.1,304.8,612.9000000000001,6.129000000000001,29140.153369228254,351232,75776,1,OK,185600.0,2048,96.22844827586206,39.166666666666664,11.479452054794521,11.96039603960396,4.383401519579189,41.315345699831376
63,3350 × 2048,2048,3350,0,-,185600.0,15110.0,20310.0,336.7,332.0,668.7,6.687,27755.34619410797,649216,107520,1,OK,185600.0,2048,100.0,41.726618705035975,20.698630136986303,20.10891089108911,3.919372900335949,80.31026252983293
