source_index,value,target_qps,bud,sleep_us,concurrency,body_bytes,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,used_cores,qps_per_used_core,attainment_pct,target_sustained,is_pareto,client_rss_kb,server_rss_kb,retry,status,partial
47,77000 × 1024x1024 × 10x10x10x10,77000,1024,10,128,1024,0,77000.0,30.0,90.0,450.3,430.6,880.9000000000001,8.809000000000001,8741.060279259847,100.0,True,False,98304,67584,1,OK,False
48,77000 × 1024x1024 × 100x100x100x100,77000,1024,100,128,1024,0,77000.0,30.0,170.0,411.5,396.4,807.9,8.079,9530.882534967199,100.0,True,False,100352,63488,1,OK,False
49,77000 × 1024x1024 × 1000x1000x1000x1000,77000,1024,1000,128,1024,0,77000.0,30.0,1780.0,351.3,341.8,693.1,6.931,11109.508007502525,100.0,True,True,98304,60416,1,OK,False
50,77000 × 1024x1024 × 10000x10000x10000x10000,77000,1024,10000,128,1024,0,53700.0,11290.0,12040.0,156.3,140.0,296.3,2.963,18123.5234559568,69.74025974025975,False,False,98304,68608,1,OK,False
51,192500 × 0x0 × 1x1x1x1,192500,0,1,128,1024,0,192500.0,60.0,440.0,443.6,387.1,830.7,8.307,23173.22739857951,100.0,True,False,111616,65536,1,OK,False
52,192500 × 0x0 × 10x10x10x10,192500,0,10,128,1024,0,192500.0,60.0,500.0,429.8,379.1,808.9000000000001,8.089,23797.75003090617,100.0,True,True,108544,67584,1,OK,False
53,192500 × 0x0 × 100x100x100x100,192500,0,100,128,1024,0,192400.0,120.0,690.0,425.0,378.9,803.9,8.039,23933.325040427913,99.94805194805195,True,False,110592,64512,1,OK,False
54,192500 × 0x0 × 1000x1000x1000x1000,192500,0,1000,128,1024,0,183700.0,1520.0,2240.0,310.2,269.3,579.5,5.795,31699.74115616911,95.42857142857143,False,False,109568,70656,1,OK,False
55,192500 × 0x0 × 10000x10000x10000x10000,192500,0,10000,128,1024,0,24600.0,11270.0,20410.0,45.6,41.4,87.0,0.87,28275.862068965518,12.779220779220779,False,False,91136,65536,1,OK,False
56,192500 × 1x1 × 1x1x1x1,192500,1,1,128,1024,0,171200.0,1420.0,1960.0,216.2,179.4,395.6,3.9560000000000004,43276.036400404446,88.93506493506493,False,False,109568,73728,1,OK,False
57,192500 × 1x1 × 10x10x10x10,192500,1,10,128,1024,0,110300.0,1410.0,2110.0,122.5,98.7,221.2,2.2119999999999997,49864.37613019892,57.298701298701296,False,False,99328,70656,1,OK,False
58,192500 × 1x1 × 100x100x100x100,192500,1,100,128,1024,0,102500.0,2290.0,2390.0,110.2,90.5,200.7,2.0069999999999997,51071.25062282014,53.246753246753244,False,False,105472,66560,1,OK,False
59,192500 × 1x1 × 1000x1000x1000x1000,192500,1,1000,128,1024,0,101100.0,2330.0,2400.0,102.9,88.4,191.3,1.913,52848.92838473601,52.51948051948052,False,False,95232,67584,1,OK,False
60,192500 × 1x1 × 10000x10000x10000x10000,192500,1,10000,128,1024,0,12400.0,10470.0,20480.0,14.5,12.3,26.8,0.268,46268.65671641791,6.441558441558442,False,False,94208,64512,1,OK,False
61,192500 × 16x16 × 1x1x1x1,192500,16,1,128,1024,0,173900.0,1380.0,1950.0,217.2,198.0,415.2,4.152,41883.42967244701,90.33766233766234,False,False,111616,64512,1,OK,False
62,192500 × 16x16 × 10x10x10x10,192500,16,10,128,1024,0,109000.0,1370.0,2020.0,118.1,101.0,219.1,2.191,49748.97307165678,56.62337662337662,False,False,104448,69632,1,OK,False
63,192500 × 16x16 × 100x100x100x100,192500,16,100,128,1024,0,108300.0,1710.0,2220.0,115.0,98.0,213.0,2.13,50845.07042253522,56.25974025974026,False,False,95232,68608,1,OK,False
64,192500 × 16x16 × 1000x1000x1000x1000,192500,16,1000,128,1024,0,105500.0,1430.0,2350.0,110.7,94.7,205.4,2.0540000000000003,51363.19376825705,54.8051948051948,False,False,98304,66560,1,OK,False
65,192500 × 16x16 × 10000x10000x10000x10000,192500,16,10000,128,1024,0,12400.0,10490.0,20510.0,14.9,12.9,27.8,0.278,44604.31654676259,6.441558441558442,False,False,88064,62464,1,OK,False
66,192500 × 256x256 × 1x1x1x1,192500,256,1,128,1024,0,192500.0,70.0,540.0,431.5,375.1,806.6,8.066,23865.608727994048,100.0,True,False,112640,74752,1,OK,False
67,192500 × 256x256 × 10x10x10x10,192500,256,10,128,1024,0,192500.0,70.0,580.0,423.3,373.2,796.5,7.965,24168.236032642813,100.0,True,True,110592,65536,1,OK,False
68,192500 × 256x256 × 100x100x100x100,192500,256,100,128,1024,0,192400.0,120.0,940.0,430.4,386.1,816.5,8.165,23563.992651561544,99.94805194805195,True,False,106496,62464,1,OK,False
69,192500 × 256x256 × 1000x1000x1000x1000,192500,256,1000,128,1024,0,180800.0,1550.0,2400.0,308.8,268.5,577.3,5.773,31318.205439113113,93.92207792207792,False,False,109568,74752,1,OK,False
70,192500 × 256x256 × 10000x10000x10000x10000,192500,256,10000,128,1024,0,28900.0,11310.0,20640.0,49.4,45.4,94.8,0.948,30485.23206751055,15.012987012987013,False,False,99328,66560,1,OK,False
71,192500 × 1024x1024 × 1x1x1x1,192500,1024,1,128,1024,0,192500.0,60.0,490.0,463.2,406.4,869.5999999999999,8.696,22136.614535418583,100.0,True,False,110592,71680,1,OK,False
72,192500 × 1024x1024 × 10x10x10x10,192500,1024,10,128,1024,0,192500.0,50.0,460.0,450.1,399.9,850.0,8.5,22647.058823529413,100.0,True,True,110592,66560,1,OK,False
73,192500 × 1024x1024 × 100x100x100x100,192500,1024,100,128,1024,0,192500.0,60.0,480.0,459.2,407.6,866.8,8.668,22208.12182741117,100.0,True,False,110592,74752,1,OK,False
74,192500 × 1024x1024 × 1000x1000x1000x1000,192500,1024,1000,128,1024,0,192500.0,80.0,1740.0,380.9,337.4,718.3,7.183,26799.38744257274,100.0,True,True,105472,71680,1,OK,False
75,192500 × 1024x1024 × 10000x10000x10000x10000,192500,1024,10000,128,1024,0,189800.0,10790.0,11430.0,284.9,236.0,520.9,5.209,36436.93607218276,98.59740259740259,False,False,106496,64512,1,OK,False
76,385000 × 0x0 × 1x1x1x1,385000,0,1,128,1024,0,384100.0,340.0,980.0,629.2,529.6,1158.8000000000002,11.588000000000001,33146.358301691405,99.76623376623377,True,False,167936,72704,1,OK,False
