candidate_id,transport,policy,target_qps,sleep_us,source_indices,repeat_count,repeat_gate_consistent,tps,tps_min,tps_max,tp99_us,tp99_us_min,tp99_us_max,tp999_us,total_cpu_pct,total_cpu_pct_min,total_cpu_pct_max,used_cores,used_cores_min,used_cores_max,attainment_pct,attainment_pct_min,attainment_pct_max,target_sustained,is_pareto,partial
gqm:385000:B16:10000,GQM,B16,385000,10000,90,1,True,12500.0,12500.0,12500.0,10460.0,10460.0,10460.0,11440.0,27.700000000000003,27.700000000000003,27.700000000000003,0.277,0.277,0.277,3.2467532467532467,3.2467532467532467,3.2467532467532467,False,False,False
gqm:385000:B1024:1,GQM,B1024,385000,1,96,1,True,384300.0,384300.0,384300.0,330.0,330.0,330.0,920.0,1171.2,1171.2,1171.2,11.712,11.712,11.712,99.81818181818181,99.81818181818181,99.81818181818181,True,True,False
gqm:385000:B1024:10,GQM,B1024,385000,10,97,1,True,383900.0,383900.0,383900.0,340.0,340.0,340.0,1030.0,1164.8000000000002,1164.8000000000002,1164.8000000000002,11.648000000000001,11.648000000000001,11.648000000000001,99.71428571428571,99.71428571428571,99.71428571428571,True,False,False
gqm:385000:B1024:100,GQM,B1024,385000,100,98,1,True,383900.0,383900.0,383900.0,360.0,360.0,360.0,1020.0,1172.6,1172.6,1172.6,11.725999999999999,11.725999999999999,11.725999999999999,99.71428571428571,99.71428571428571,99.71428571428571,True,False,False
gqm:385000:B1024:1000,GQM,B1024,385000,1000,99,1,True,384300.0,384300.0,384300.0,350.0,350.0,350.0,1190.0,1154.8000000000002,1154.8000000000002,1154.8000000000002,11.548000000000002,11.548000000000002,11.548000000000002,99.81818181818181,99.81818181818181,99.81818181818181,True,False,False
gqm:385000:B1024:10000,GQM,B1024,385000,10000,100,1,True,326100.0,326100.0,326100.0,11070.0,11070.0,11070.0,11540.0,776.5,776.5,776.5,7.765,7.765,7.765,84.7012987012987,84.7012987012987,84.7012987012987,False,False,False
socket:385000,Socket,Socket,385000,,4,1,True,380900.0,380900.0,380900.0,610.0,610.0,610.0,1230.0,972.4000000000001,972.4000000000001,972.4000000000001,9.724,9.724,9.724,98.93506493506493,98.93506493506493,98.93506493506493,False,False,False
gqm:731500:B0/256 duplicate:1,GQM,B0/256 duplicate,731500,1,101;116,2,True,705600.0,705400.0,705800.0,420.0,420.0,420.0,1160.0,1448.65,1447.2,1450.1,14.4865,14.472000000000001,14.501,96.45933014354067,96.43198906356801,96.48667122351333,False,False,False
gqm:731500:B0/256 duplicate:10,GQM,B0/256 duplicate,731500,10,102;117,2,True,706800.0,706600.0,707000.0,415.0,410.0,420.0,1110.0,1479.8,1477.6,1482.0,14.798,14.776,14.82,96.62337662337663,96.59603554340397,96.65071770334929,False,False,False
gqm:731500:B0/256 duplicate:100,GQM,B0/256 duplicate,731500,100,103;118,2,True,706800.0,706100.0,707500.0,415.0,410.0,420.0,1105.0,1479.75,1478.6,1480.9,14.7975,14.786,14.809000000000001,96.62337662337663,96.52768284347232,96.71907040328092,False,False,False
