source_index,value,concurrency,payload_bytes,target_qps,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,estimated_used_cores,tps_per_used_core,client_rss_kb,server_rss_kb,retry,status,payload_peak_tps,payload_peak_concurrency,tps_vs_payload_peak_pct,tps_retention_vs_zero_payload_pct,tp99_amplification_vs_c64,tp999_amplification_vs_c64,tps_gain_vs_previous_concurrency_pct,tp99_change_vs_previous_concurrency_pct
52,1340 × 512,512,1340,0,0,693300.0,4450.0,12520.0,743.1,755.3,1498.4,14.984000000000002,46269.35397757607,347136,151552,1,OK,787000.0,64,88.09402795425667,73.89682370496696,21.19047619047619,14.067415730337078,-4.5698554714384,169.6969696969697
53,1340 × 1024,1024,1340,0,0,661600.0,8970.0,22250.0,736.6,754.0,1490.6,14.905999999999999,44384.81148530793,548864,240640,1,OK,787000.0,64,84.06607369758576,71.13213632942694,42.714285714285715,25.0,-4.572335208423484,101.57303370786516
54,1340 × 2048,2048,1340,0,0,613000.0,21130.0,45530.0,745.5,760.8,1506.3,15.062999999999999,40695.744539600346,1044480,663552,1,OK,787000.0,64,77.89072426937739,70.74437391806117,100.61904761904762,51.157303370786515,-7.345828295042322,135.56298773690077
55,3350 × 1,1,3350,0,0,79200.0,70.0,110.0,173.8,179.6,353.4,3.534,22410.865874363328,59392,51200,1,OK,697200.0,64,11.359724612736661,84.34504792332268,0.2,0.08333333333333333,,
56,3350 × 4,4,3350,0,0,245200.0,60.0,120.0,549.3,517.9,1067.1999999999998,10.671999999999999,22976.011994003,93184,48128,1,OK,697200.0,64,35.16924842226047,81.03106411103768,0.17142857142857143,0.09090909090909091,209.5959595959596,-14.28571428571429
57,3350 × 16,16,3350,0,0,638800.0,80.0,450.0,774.7,723.7,1498.4,14.984000000000002,42632.140950347035,208896,53248,1,OK,697200.0,64,91.62363740676993,76.5947242206235,0.22857142857142856,0.3409090909090909,160.5220228384992,33.33333333333333
58,3350 × 64,64,3350,0,0,697200.0,350.0,1320.0,745.9,762.8,1508.6999999999998,15.086999999999998,46211.970570690006,214016,61440,1,OK,697200.0,64,100.0,72.89836888331241,1.0,1.0,9.142141515341272,337.5
59,3350 × 128,128,3350,0,0,668000.0,880.0,2770.0,743.7,762.8,1506.5,15.065,44341.18818453369,237568,73728,1,OK,697200.0,64,95.81181870338497,69.05820324614908,2.5142857142857142,2.0984848484848486,-4.188181296615035,151.42857142857142
60,3350 × 256,256,3350,0,0,609400.0,2330.0,6210.0,767.6,762.0,1529.6,15.296,39840.48117154812,243712,102400,1,OK,697200.0,64,87.40676993689041,62.766505304356784,6.6571428571428575,4.704545454545454,-8.772455089820363,164.77272727272728
61,3350 × 512,512,3350,0,0,566300.0,6560.0,13560.0,761.0,760.5,1521.5,15.215,37219.8488333881,344064,160768,1,OK,697200.0,64,81.22489959839358,60.36026433596248,18.742857142857144,10.272727272727273,-7.072530357728912,181.54506437768242
62,3350 × 1024,1024,3350,0,0,540400.0,15210.0,23850.0,754.7,764.6,1519.3000000000002,15.193000000000001,35569.01204502073,521216,261120,1,OK,697200.0,64,77.51004016064257,58.1012794323191,43.457142857142856,18.068181818181817,-4.573547589616811,131.85975609756096
63,3350 × 2048,2048,3350,0,0,486000.0,32920.0,50570.0,768.6,750.1,1518.7,15.187000000000001,32001.053532626585,1041408,718848,1,OK,697200.0,64,69.70740103270224,56.087709174841315,94.05714285714286,38.31060606060606,-10.066617320503335,116.43655489809336
