source_index,value,target_qps,idle_enabled,sleep_us,bud,reported_sustain_pct,achieved_qps,p50_us,p99_us,p999_us,max_us,send_lag_p99_us,scheduled,dispatched,completed,shed,client_cpu_user_pct,client_cpu_sys_pct,client_cpu_pct,server_cpu_user_pct,server_cpu_sys_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status,total_cpu_pct,used_cores,quota_occupancy_pct,qps_per_used_core,target_sustained
39,40000 × Truex1xTruex1 × 16x16,40000,True,1,16,99.8,40100,74.5,203.2,2574,28600,177.5,603040,601806,601806,1234,230.6,138,368.6,194.9,109.3,304.2,258196,19088,1,✅,672.8,6.728,56.0666666667,5960.16646849,True
40,40000 × Truex1xTruex1 × 256x256,40000,True,1,256,100,40200,83.6,530.5,1929,5100,579.9,603034,603034,603034,0,303,93.9,396.9,270.1,93.4,363.4,252840,19084,1,✅,760.3,7.603,63.3583333333,5287.38655794,True
41,40000 × Truex10xTruex10 × 0x0,40000,True,10,0,100,40200,84.8,225.9,303.5,1600,124.8,603040,603040,603040,0,119.1,64.8,183.9,23.2,38.5,61.7,290344,19088,1,✅,245.6,2.456,20.4666666667,16368.0781759,True
42,40000 × Truex10xTruex10 × 1x1,40000,True,10,1,100,40200,82.8,226.8,384.7,72100,129,603040,602800,602800,240,120.2,62.2,182.4,22.4,39,61.4,246976,19072,1,✅,243.8,2.438,20.3166666667,16488.9253486,True
43,40000 × Truex10xTruex10 × 16x16,40000,True,10,16,100,40200,78.5,210.1,292.8,1400,158.3,603040,603040,603040,0,244.2,100.2,344.4,112,48.3,160.3,272320,19088,1,✅,504.7,5.047,42.0583333333,7965.12779869,True
44,40000 × Truex10xTruex10 × 256x256,40000,True,10,256,100,40200,87.2,527.6,894.7,2000,733.9,603030,603030,603030,0,303.7,93.2,396.9,252.2,84.4,336.6,267152,19076,1,✅,733.5,7.335,61.125,5480.57259714,True
45,40000 × Truex100xTruex100 × 0x0,40000,True,100,0,100,40200,164.6,301.4,392.1,1600,109.2,603040,603040,603040,0,98.1,16.2,114.2,16.1,5,21.2,238912,19088,1,✅,135.4,1.354,11.2833333333,29689.8079764,True
46,40000 × Truex100xTruex100 × 1x1,40000,True,100,1,100,40200,165.7,305.2,393.9,1500,114,603040,603040,603040,0,95.3,18.1,113.4,17,4.8,21.8,238360,19084,1,✅,135.2,1.352,11.2666666667,29733.7278107,True
47,40000 × Truex100xTruex100 × 16x16,40000,True,100,16,99.8,40100,158.8,311.1,398.5,250000,116.4,603040,601993,601993,1047,126.3,28.4,154.7,30.9,9.1,40,263996,19076,1,✅,194.7,1.947,16.225,20595.7883924,True
48,40000 × Truex100xTruex100 × 256x256,40000,True,100,256,100,40200,141.5,683.6,1103,1800,1622,603035,603035,603035,0,304.2,92.6,396.8,148.2,48.3,196.5,253268,19084,1,✅,593.3,5.933,49.4416666667,6775.66155402,True
49,80000 × Falsex0xFalsex0 × 0x0,80000,False,0,0,99.9,80000,2310,12468,13594,25600,12614,1201677,1200271,1200271,1406,295.6,103.6,399.2,281.3,87.5,368.8,237412,19084,1,✅,768,7.68,64,10416.6666667,True
50,80000 × Falsex0xFalsex0 × 1x1,80000,False,0,1,99.9,80000,2498,13133,13671,17800,11616,1201604,1200741,1200741,863,294.5,104.6,399.1,281.6,87.1,368.7,248668,19088,1,✅,767.8,7.678,63.9833333333,10419.3800469,True
51,80000 × Falsex0xFalsex0 × 16x16,80000,False,0,16,99.9,80000,2493,13154,13661,20200,11604,1201500,1200581,1200581,919,296.5,102.5,399.1,284.1,84.9,369,278100,19084,1,✅,768.1,7.681,64.0083333333,10415.3105064,True
52,80000 × Falsex0xFalsex0 × 256x256,80000,False,0,256,99.8,79900,2285,15907,17672,22800,15275,1201400,1199215,1199215,2185,296.9,102.4,399.2,280.1,88.8,368.9,245844,19072,1,✅,768.1,7.681,64.0083333333,10402.2913683,True
53,80000 × Truex1xTruex1 × 0x0,80000,True,1,0,100,80100,110.2,1352,7446,11100,177.7,1201880,1201880,1201880,0,138.8,198.8,337.6,79.4,123,202.5,253328,19084,1,✅,540.1,5.401,45.0083333333,14830.5869283,True
