candidate_id,transport,policy,target_qps,idle_enabled,sleep_us,bud,source_indices,repeat_count,repeat_gate_consistent,achieved_qps,achieved_qps_min,achieved_qps_max,reported_sustain_pct,reported_sustain_pct_min,reported_sustain_pct_max,p99_us,p99_us_min,p99_us_max,p999_us,total_cpu_pct,total_cpu_pct_min,total_cpu_pct_max,used_cores,used_cores_min,used_cores_max,target_sustained,is_pareto
ubmem-80000-b1-s100,Ubmem,BUD=1,80000,True,100,1,62,1,True,80100,80100,80100,100,100,100,426.6,426.6,426.6,561.2,236.3,236.3,236.3,2.363,2.363,2.363,True,True
ubmem-80000-b16-s100,Ubmem,BUD=16,80000,True,100,16,63,1,True,80100,80100,80100,100,100,100,400.9,400.9,400.9,515.4,292.5,292.5,292.5,2.925,2.925,2.925,True,True
ubmem-80000-b256-s100,Ubmem,BUD=256,80000,True,100,256,64,1,True,80100,80100,80100,100,100,100,2114,2114,2114,4056,600.3,600.3,600.3,6.003,6.003,6.003,True,False
socket-80000,Socket,Socket,80000,,,,4,1,True,79300,79300,79300,99,99,99,466.8,466.8,466.8,9885,242.3,242.3,242.3,2.423,2.423,2.423,False,False
ubmem-152000-b0-s1,Ubmem,BUD=0,152000,True,1,0,69,1,True,139500,139500,139500,91.6,91.6,91.6,18471,18471,18471,20018,579,579,579,5.79,5.79,5.79,False,False
ubmem-152000-b1-s1,Ubmem,BUD=1,152000,True,1,1,70,1,True,143700,143700,143700,94.4,94.4,94.4,18400,18400,18400,18587,584.5,584.5,584.5,5.845,5.845,5.845,False,False
ubmem-152000-b16-s1,Ubmem,BUD=16,152000,True,1,16,71,1,True,152100,152100,152100,99.9,99.9,99.9,5010,5010,5010,17662,700,700,700,7,7,7,True,False
ubmem-152000-b256-s1,Ubmem,BUD=256,152000,True,1,256,72,1,True,151900,151900,151900,99.8,99.8,99.8,7321,7321,7321,9634,761.9,761.9,761.9,7.619,7.619,7.619,True,False
ubmem-152000-b0-s10,Ubmem,BUD=0,152000,True,10,0,73,1,True,151700,151700,151700,99.6,99.6,99.6,14511,14511,14511,19942,443.4,443.4,443.4,4.434,4.434,4.434,True,False
ubmem-152000-b1-s10,Ubmem,BUD=1,152000,True,10,1,74,1,True,150600,150600,150600,98.9,98.9,98.9,14570,14570,14570,14827,442.2,442.2,442.2,4.422,4.422,4.422,False,False
ubmem-152000-b16-s10,Ubmem,BUD=16,152000,True,10,16,75,1,True,151400,151400,151400,99.5,99.5,99.5,15551,15551,15551,15747,567.2,567.2,567.2,5.672,5.672,5.672,True,False
ubmem-152000-b256-s10,Ubmem,BUD=256,152000,True,10,256,76,1,True,152000,152000,152000,99.9,99.9,99.9,6293,6293,6293,13601,737.1,737.1,737.1,7.371,7.371,7.371,True,False
ubmem-152000-b0-s100,Ubmem,BUD=0,152000,True,100,0,77,1,True,152200,152200,152200,100,100,100,1848,1848,1848,2490,388.7,388.7,388.7,3.887,3.887,3.887,True,True
ubmem-152000-b1-s100,Ubmem,BUD=1,152000,True,100,1,78,1,True,152200,152200,152200,100,100,100,1849,1849,1849,2505,389.7,389.7,389.7,3.897,3.897,3.897,True,False
ubmem-152000-b16-s100,Ubmem,BUD=16,152000,True,100,16,79,1,True,151900,151900,151900,99.8,99.8,99.8,1633,1633,1633,2282,426.6,426.6,426.6,4.266,4.266,4.266,True,True
ubmem-152000-b256-s100,Ubmem,BUD=256,152000,True,100,256,80,1,True,152100,152100,152100,99.9,99.9,99.9,13053,13053,13053,13783,609.4,609.4,609.4,6.094,6.094,6.094,True,False
socket-152000,Socket,Socket,152000,,,,5,1,True,151600,151600,151600,99.6,99.6,99.6,12123,12123,12123,16248,387.1,387.1,387.1,3.871,3.871,3.871,True,True
